Producto	Modelo	Color	Cantidad	Precio Unitario	Total	Caja	Salidas	Existencia			@
Tumbler 20 oz	Xbox	Black/Green Logo	6	$295.00	$1,770.00	Caja	6	0			
Tumbler 20 oz	Xbox	Green	3	$295.00	$885.00	Caja	1	2			
Tumbler 20 oz Qatar	FIFA	Stadium	2	$350.00	$700.00	Caja	2	0			
Tumbler 20 oz Qatar	FIFA	Victory	2	$350.00	$700.00	Caja	2	0			
Tumbler 20 oz Qatar	FIFA	Aqua	2	$350.00	$700.00	Caja	1	1			
Tumbler 30 oz	Clasico	Turquesa	26	$255.00	$6,630.00	Caja	24	2			
Tumbler 30 oz	Clasico	Sky	6	$255.00	$1,530.00	Caja	4	2			
Tumbler 30 oz	Clasico	Rosa Pastel	7	$255.00	$1,785.00	Caja	5	2			
Tumbler 30 oz	Clasico	Rojo	16	$255.00	$4,080.00	Caja	17	-1	DEBO 1 INTERLOMAS		
Tumbler 30 oz	Clasico	Azul Rey	25	$255.00	$6,375.00	Caja	18	7			
Tumbler 30 oz	Clasico	Negro	435	$255.00	$110,925.00	Caja	427	8	3 FARMACIAS		
Tumbler 30 oz	Clasico	Navy	34	$255.00	$8,670.00	Caja	29	5			
Tumbler 30 oz	Clasico	Morado (Violet)	8	$255.00	$2,040.00	Caja	4	4			
Tumbler 30 oz	Clasico	Militar	38	$255.00	$9,690.00	Caja	35	3			
Tumbler 30 oz	Clasico	Menta (Aqua)	6	$255.00	$1,530.00	Caja	4	2			
Tumbler 30 oz	Clasico	Lila (Light Purple)	6	$255.00	$1,530.00	Caja	4	2			
Tumbler 30 oz	Clasico	Gris	6	$255.00	$1,530.00	Caja	4	2			
Tumbler 30 oz	Clasico	Fusia (Pink)	4	$255.00	$1,020.00	Caja	3	1			
Tumbler 30 oz	Clasico	Coral	4	$255.00	$1,020.00	Caja	3	1			
Tumbler 30 oz	Clasico	Blanco	28	$255.00	$7,140.00	Caja	27	1			
Tumbler 30 oz	Clasico	Arena	39	$255.00	$9,945.00	Caja	35	4			
Tumbler 30 oz	Clasico	Amarillo	5	$255.00	$1,275.00	Caja	3	2			
Tumbler 30 oz	Clasico	Naranja	17	$255.00	$4,335.00	Caja	14	3			
Tumbler 30 oz	Premium	Merlot	6	$270.00	$1,620.00	Caja	4	2			
Tumbler 30 oz	Premium	Marmol Blanco	6	$270.00	$1,620.00	Caja	4	2			
Tumbler 30 oz	Premium	Madera	6	$270.00	$1,620.00	Caja	5	1			
Tumbler 30 oz	Premium	Camo Negro	5	$270.00	$1,350.00	Caja	4	1			
Tumbler 30 oz	Premium	Camo Men	4	$255.00	$1,020.00	Caja	2	2			
Tumbler 30 oz	Premium	Camo Girl	4	$270.00	$1,080.00	Caja	2	2			
Tumbler 30 oz	Premium	Blush	7	$270.00	$1,890.00	Caja	5	2	DEBE 1 INTERLOMAS		
